trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,18,13.816105759047092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,0,-0.108047487899114,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",20,12,17.414561659799986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,5,16.231796404260205,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,8,-5.034046529196617,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,12,-25.924870009863756,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,0,0.26861371628401787,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,0,13.622375889474963,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,7,-8.690762150649437,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,0,16.473488148826036,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",30,8,17.32185480178299,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,6,-14.8457662817305,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,8,22.42782847423607,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,12,12.553473250122787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,17,-10.335624972998685,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,7,-6.635473893322312,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,14,-0.5001524571247868,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",30,13,-77.92970198674256,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",35,9,-8.125654227326356,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",30,18,22.26473452859532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
